Designator,Center-X(mm),Center-Y(mm),Layer,Rotation
S1__8,51.3178mm,56.6612mm,BottomLayer,90
S1__7,51.3178mm,52.3408mm,BottomLayer,90
S1__6,51.3178mm,47.9362mm,BottomLayer,90
S1__5,51.3178mm,43.6533mm,BottomLayer,90
S1__4,9.5570mm,44.8041mm,BottomLayer,270
S1__3,9.5570mm,49.0870mm,BottomLayer,270
S1__2,9.5570mm,53.4916mm,BottomLayer,270
S1__1,9.5570mm,57.8120mm,BottomLayer,270
RESET,50.6443mm,22.8498mm,BottomLayer,90
C16,47.8059mm,7.8420mm,BottomLayer,90
C15,46.8306mm,9.6672mm,BottomLayer,270
ESP_PROG,15.2000mm,2.9050mm,TopLayer,180
BOOT,18.0000mm,65.0000mm,BottomLayer,0
SW2,44.0000mm,65.0000mm,BottomLayer,0
SW1,44.0000mm,40.0000mm,BottomLayer,0
R20,4.7500mm,33.9500mm,BottomLayer,180
R19,4.7500mm,32.9500mm,BottomLayer,180
C4,14.6240mm,78.7508mm,BottomLayer,90
ALS1,17.0000mm,79.0000mm,BottomLayer,90
C3,7.3608mm,30.3500mm,BottomLayer,180
LDO1,18.0660mm,36.4130mm,BottomLayer,0
C25,12.5460mm,37.8130mm,BottomLayer,90
C24,16.5410mm,41.0000mm,BottomLayer,180
R18,31.6837mm,32.2105mm,BottomLayer,0
R17,28.3944mm,32.2104mm,BottomLayer,180
USB,30.0000mm,35.7345mm,BottomLayer,180
U1,16.3708mm,19.3548mm,BottomLayer,270
C13,46.8306mm,12.1599mm,BottomLayer,270
D210,32.0000mm,46.0001mm,TopLayer,270
D178,32.0000mm,47.3334mm,TopLayer,270
D146,32.0000mm,48.6667mm,TopLayer,270
D114,32.0000mm,50.0000mm,TopLayer,270
D82,32.0000mm,51.3333mm,TopLayer,270
D50,32.0000mm,52.6666mm,TopLayer,270
D18,32.0000mm,53.9999mm,TopLayer,270
R38,40.3250mm,14.6500mm,BottomLayer,0
